Ticker,Score,Weight (%),Reason
REGN,0.92,8,"High FCF yield, strong interest coverage, fair valuation."
FANG,0.91,8,"High profit margin, strong FCF yield, fair valuation."
GILD,0.90,8,"High FCF yield, strong interest coverage, fair valuation."
CMCSA,0.89,8,"High FCF yield, strong interest coverage, fair valuation."
CHRT,0.88,8,"High FCF yield, strong interest coverage, fair valuation."
TXN,0.87,8,"High profit margin, strong interest coverage, fair valuation."
QCOM,0.86,8,"High profit margin, strong interest coverage, fair valuation."
MSFT,0.85,8,"High profit margin, strong interest coverage, fair valuation."
AAPL,0.84,8,"High profit margin, strong interest coverage, fair valuation."
NVDA,0.83,8,"High profit margin, strong interest coverage, fair valuation."
META,0.82,8,"High profit margin, strong interest coverage, fair valuation."
AMGN,0.81,8,"High profit margin, strong interest coverage, fair valuation."
ORLY,0.80,8,"High profit margin, strong interest coverage, fair valuation."
